year,state,total_votes
1992,Alabama,1688060
1992,Alaska,258506
1992,Arizona,1486975
1992,Arkansas,950653
1992,California,11131721
1992,Colorado,1569180
1992,Connecticut,1616332
1992,Delaware,289735
1992,District of Columbia,227572
1992,Florida,5314392
1992,Georgia,2321125
1992,Hawaii,372842
1992,Idaho,482142
1992,Illinois,5050157
1992,Indiana,2305871
1992,Iowa,1354607
1992,Kansas,1157236
1992,Kentucky,1492900
1992,Louisiana,1790017
1992,Maine,679499
1992,Maine's 1st congressional district,363716
1992,Maine's 2nd congressional district,313028
1992,Maryland,1985046
1992,Massachusetts,2773664
1992,Michigan,4274673
1992,Minnesota,2347947
1992,Mississippi,981793
1992,Missouri,2391565
1992,Montana,410611
1992,Nebraska,739283
1992,Nebraska's 1st congressional district,247751
1992,Nebraska's 2nd congressional district,242613
1992,Nebraska's 3rd congressional district,244282
1992,Nevada,506318
1992,New Hampshire,537945
1992,New Jersey,3343594
1992,New Mexico,569986
1992,New York,6926933
1992,North Carolina,2611850
1992,North Dakota,308133
1992,Ohio,4939964
1992,Oklahoma,1390359
1992,Oregon,1462643
1992,Pennsylvania,4959810
1992,Rhode Island,453478
1992,South Carolina,1202527
1992,South Dakota,336254
1992,Tennessee,1982638
1992,Texas,6154018
1992,Utah,743999
1992,Vermont,289701
1992,Virginia,2558665
1992,Washington,2288228
1992,West Virginia,683677
1992,Wisconsin,2531114
1992,Wyoming,200587
1996,Alabama,1534349
1996,Alaska,241620
1996,Arizona,1404405
1996,Arkansas,884262
1996,California,10019484
1996,Colorado,1510704
1996,Connecticut,1392614
1996,Delaware,270845
1996,District of Columbia,185726
1996,Florida,5303794
1996,Georgia,2299071
1996,Hawaii,360120
1996,Idaho,491719
1996,Illinois,4311391
1996,Indiana,2135842
1996,Iowa,1234075
1996,Kansas,1074300
1996,Kentucky,1388708
1996,Louisiana,1783959
1996,Maine,605897
1996,Maine's 1st congressional district,317121
1996,Maine's 2nd congressional district,288776
1996,Maryland,1780870
1996,Massachusetts,2556786
1996,Michigan,3848844
1996,Minnesota,2192640
1996,Mississippi,893857
1996,Missouri,2158065
1996,Montana,407261
1996,Nebraska,677415
1996,Nebraska's 1st congressional district,230330
1996,Nebraska's 2nd congressional district,222660
1996,Nebraska's 3rd congressional district,224425
1996,Nevada,464279
1996,New Hampshire,499175
1996,New Jersey,3075807
1996,New Mexico,556074
1996,New York,6316129
1996,North Carolina,2515807
1996,North Dakota,266411
1996,Ohio,4534434
1996,Oklahoma,1206713
1996,Oregon,1377760
1996,Pennsylvania,4506118
1996,Rhode Island,390284
1996,South Carolina,1151689
1996,South Dakota,323826
1996,Tennessee,1894105
1996,Texas,5611644
1996,Utah,665629
1996,Vermont,258449
1996,Virginia,2416642
1996,Washington,2253837
1996,West Virginia,636459
1996,Wisconsin,2196169
1996,Wyoming,211571
2000,Alabama,1666272
2000,Alaska,285560
2000,Arizona,1532016
2000,Arkansas,921781
2000,California,10965856
2000,Colorado,1741368
2000,Connecticut,1459525
2000,Delaware,327622
2000,District of Columbia,201894
2000,Florida,5963110
2000,Georgia,2596804
2000,Hawaii,367951
2000,Idaho,501621
2000,Illinois,4742123
2000,Indiana,2199302
2000,Iowa,1315563
2000,Kansas,1072218
2000,Kentucky,1544187
2000,Louisiana,1765656
2000,Maine,651817
2000,Maine's 1st congressional district,348951
2000,Maine's 2nd congressional district,302866
2000,Maryland,2025480
2000,Massachusetts,2702984
2000,Michigan,4232501
2000,Minnesota,2438685
2000,Mississippi,994184
2000,Missouri,2359892
2000,Montana,410997
2000,Nebraska,697019
2000,Nebraska's 1st congressional district,242023
2000,Nebraska's 2nd congressional district,231012
2000,Nebraska's 3rd congressional district,223984
2000,Nevada,608970
2000,New Hampshire,569081
2000,New Jersey,3187226
2000,New Mexico,598605
2000,New York,6821999
2000,North Carolina,2911262
2000,North Dakota,288256
2000,Ohio,4705457
2000,Oklahoma,1234229
2000,Oregon,1533968
2000,Pennsylvania,4913119
2000,Rhode Island,409112
2000,South Carolina,1382717
2000,South Dakota,316269
2000,Tennessee,2076181
2000,Texas,6407637
2000,Utah,770754
2000,Vermont,294308
2000,Virginia,2739447
2000,Washington,2487433
2000,West Virginia,648124
2000,Wisconsin,2598607
2000,Wyoming,218351
2004,Alabama,1883449
2004,Alaska,312598
2004,Arizona,2012585
2004,Arkansas,1054945
2004,California,12421353
2004,Colorado,2130330
2004,Connecticut,1578769
2004,Delaware,375190
2004,District of Columbia,227586
2004,Florida,7609810
2004,Georgia,3301875
2004,Hawaii,429013
2004,Idaho,598447
2004,Illinois,5274322
2004,Indiana,2468002
2004,Iowa,1506908
2004,Kansas,1187756
2004,Kentucky,1795882
2004,Louisiana,1943106
2004,Maine,740752
2004,Maine's 1st congressional district,384392
2004,Maine's 2nd congressional district,356356
2004,Maryland,2386678
2004,Massachusetts,2912388
2004,Michigan,4839252
2004,Minnesota,2828387
2004,Mississippi,1152145
2004,Missouri,2731364
2004,Montana,450445
2004,Nebraska,778186
2004,Nebraska's 1st congressional district,269771
2004,Nebraska's 2nd congressional district,254032
2004,Nebraska's 3rd congressional district,253452
2004,Nevada,829587
2004,New Hampshire,677738
2004,New Jersey,3611691
2004,New Mexico,756304
2004,New York,7391036
2004,North Carolina,3501007
2004,North Dakota,312833
2004,Ohio,5627908
2004,Oklahoma,1463758
2004,Oregon,1836782
2004,Pennsylvania,5769590
2004,Rhode Island,437134
2004,South Carolina,1617730
2004,South Dakota,388215
2004,Tennessee,2437319
2004,Texas,7410765
2004,Utah,927844
2004,Vermont,312309
2004,Virginia,3198367
2004,Washington,2859084
2004,West Virginia,755887
2004,Wisconsin,2997007
2004,Wyoming,243428
2008,Alabama,2099819
2008,Alaska,326197
2008,Arizona,2293475
2008,Arkansas,1086617
2008,California,13561900
2008,Colorado,2401462
2008,Connecticut,1646797
2008,Delaware,412412
2008,District of Columbia,265853
2008,Florida,8390744
2008,Georgia,3924486
2008,Hawaii,453568
2008,Idaho,655122
2008,Illinois,5522371
2008,Indiana,2751054
2008,Iowa,1537123
2008,Kansas,1235872
2008,Kentucky,1826620
2008,Louisiana,1960761
2008,Maine,731163
2008,Maine's 1st congressional district,383626
2008,Maine's 2nd congressional district,347537
2008,Maryland,2631596
2008,Massachusetts,3080985
2008,Michigan,5001766
2008,Minnesota,2910369
2008,Mississippi,1289865
2008,Missouri,2925205
2008,Montana,490302
2008,Nebraska,801281
2008,Nebraska's 1st congressional district,273893
2008,Nebraska's 2nd congressional district,277809
2008,Nebraska's 3rd congressional district,246742
2008,Nevada,967848
2008,New Hampshire,710970
2008,New Jersey,3868237
2008,New Mexico,830158
2008,New York,7640931
2008,North Carolina,4310789
2008,North Dakota,316621
2008,Ohio,5708350
2008,Oklahoma,1462661
2008,Oregon,1827864
2008,Pennsylvania,6013272
2008,Rhode Island,471766
2008,South Carolina,1920969
2008,South Dakota,381975
2008,Tennessee,2599749
2008,Texas,8077795
2008,Utah,952370
2008,Vermont,325046
2008,Virginia,3723260
2008,Washington,3036878
2008,West Virginia,713451
2008,Wisconsin,2983417
2008,Wyoming,254658
2012,Alabama,2074338
2012,Alaska,300495
2012,Arizona,2299254
2012,Arkansas,1069468
2012,California,13038547
2012,Colorado,2569518
2012,Connecticut,1558960
2012,Delaware,413921
2012,District of Columbia,293764
2012,Florida,8474179
2012,Georgia,3900050
2012,Hawaii,434697
2012,Idaho,652274
2012,Illinois,5242014
2012,Indiana,2624534
2012,Iowa,1582180
2012,Kansas,1159971
2012,Kentucky,1797212
2012,Louisiana,1994065
2012,Maine,713180
2012,Maine's 1st congressional district,374149
2012,Maine's 2nd congressional district,336226
2012,Maryland,2707327
2012,Massachusetts,3167767
2012,Michigan,4730961
2012,Minnesota,2936561
2012,Mississippi,1285584
2012,Missouri,2757323
2012,Montana,484048
2012,Nebraska,794379
2012,Nebraska's 1st congressional district,264712
2012,Nebraska's 2nd congressional district,266727
2012,Nebraska's 3rd congressional district,259223
2012,Nevada,1014918
2012,New Hampshire,710972
2012,New Jersey,3640292
2012,New Mexico,783758
2012,New York,7081159
2012,North Carolina,4505372
2012,North Dakota,322627
2012,Ohio,5580847
2012,Oklahoma,1334872
2012,Oregon,1789270
2012,Pennsylvania,5753670
2012,Rhode Island,446049
2012,South Carolina,1964118
2012,South Dakota,363815
2012,Tennessee,2458577
2012,Texas,7993851
2012,Utah,1017440
2012,Vermont,299290
2012,Virginia,3854489
2012,Washington,3125516
2012,West Virginia,670438
2012,Wisconsin,3068434
2012,Wyoming,249061
2016,Alabama,2123372
2016,Alaska,318608
2016,Arizona,2604657
2016,Arkansas,1130676
2016,California,14181595
2016,Colorado,2780247
2016,Connecticut,1644920
2016,Delaware,443814
2016,District of Columbia,311268
2016,Florida,9420039
2016,Georgia,4114732
2016,Hawaii,428937
2016,Idaho,690255
2016,Illinois,5536424
2016,Indiana,2734958
2016,Iowa,1566031
2016,Kansas,1184402
2016,Kentucky,1924149
2016,Louisiana,2029032
2016,Maine,747927
2016,Maine's 1st congressional district,394329
2016,Maine's 2nd congressional district,353416
2016,Maryland,2781446
2016,Massachusetts,3325046
2016,Michigan,4799284
2016,Minnesota,2944813
2016,Mississippi,1209357
2016,Missouri,2808605
2016,Montana,497147
2016,Nebraska,844227
2016,Nebraska's 1st congressional district,282338
2016,Nebraska's 2nd congressional district,291680
2016,Nebraska's 3rd congressional district,270109
2016,Nevada,1125385
2016,New Hampshire,744296
2016,New Jersey,3874046
2016,New Mexico,798319
2016,New York,7721453
2016,North Carolina,4741564
2016,North Dakota,344360
2016,Ohio,5496487
2016,Oklahoma,1452992
2016,Oregon,2001336
2016,Pennsylvania,6165478
2016,Rhode Island,464144
2016,South Carolina,2103027
2016,South Dakota,370093
2016,Tennessee,2508027
2016,Texas,8969226
2016,Utah,1131430
2016,Vermont,315067
2016,Virginia,3984631
2016,Washington,3317019
2016,West Virginia,714423
2016,Wisconsin,2976150
2016,Wyoming,255849
2020,Alabama,2323282
2020,Alaska,359530
2020,Arizona,3387326
2020,Arkansas,1219069
2020,California,17501380
2020,Colorado,3256980
2020,Connecticut,1823857
2020,Delaware,504346
2020,District of Columbia,344356
2020,Florida,11067456
2020,Georgia,4999960
2020,Hawaii,574469
2020,Idaho,867934
2020,Illinois,6033744
2020,Indiana,3033210
2020,Iowa,1690871
2020,Kansas,1373986
2020,Kentucky,2136768
2020,Louisiana,2148062
2020,Maine,819461
2020,Maine's 1st congressional district,443112
2020,Maine's 2nd congressional district,376349
2020,Maryland,3037030
2020,Massachusetts,3631402
2020,Michigan,5539302
2020,Minnesota,3277171
2020,Mississippi,1313759
2020,Missouri,3025962
2020,Montana,603674
2020,Nebraska,956383
2020,Nebraska's 1st congressional district,321886
2020,Nebraska's 2nd congressional district,339666
2020,Nebraska's 3rd congressional district,294831
2020,Nevada,1405376
2020,New Hampshire,806205
2020,New Jersey,4549457
2020,New Mexico,923965
2020,New York,8616861
2020,North Carolina,5524804
2020,North Dakota,362024
2020,Ohio,5922202
2020,Oklahoma,1560699
2020,Oregon,2374321
2020,Pennsylvania,6936976
2020,Rhode Island,517757
2020,South Carolina,2513329
2020,South Dakota,422609
2020,Tennessee,3053851
2020,Texas,11315056
2020,Utah,1488289
2020,Vermont,367428
2020,Virginia,4460524
2020,Washington,4087631
2020,West Virginia,794731
2020,Wisconsin,3298041
2020,Wyoming,276765
